#TLB experiment
# page size = 4096 bytes 
# max pages = 512
# total number or references = 1 Mi
#pages	 proc 	 sum
1	 0.0156250000 	 1048576
2	 0.0000000000 	 1048576
3	 0.0000000000 	 1048575
4	 0.0000000000 	 1048576
5	 0.0000000000 	 1048575
6	 0.0000000000 	 1048572
7	 0.0000000000 	 1048572
8	 0.0000000000 	 1048576
9	 0.0156250000 	 1048572
10	 0.0000000000 	 1048570
11	 0.0000000000 	 1048575
12	 0.0000000000 	 1048572
13	 0.0000000000 	 1048567
14	 0.0000000000 	 1048572
15	 0.0000000000 	 1048575
16	 0.0000000000 	 1048576
17	 0.0156250000 	 1048560
18	 0.0000000000 	 1048572
19	 0.0000000000 	 1048572
20	 0.0000000000 	 1048560
21	 0.0000000000 	 1048572
22	 0.0000000000 	 1048564
23	 0.0000000000 	 1048570
24	 0.0000000000 	 1048560
25	 0.0156250000 	 1048575
26	 0.0000000000 	 1048554
27	 0.0000000000 	 1048572
28	 0.0000000000 	 1048572
29	 0.0000000000 	 1048553
30	 0.0000000000 	 1048560
31	 0.0000000000 	 1048575
32	 0.0156250000 	 1048576
33	 0.0000000000 	 1048575
34	 0.0000000000 	 1048560
35	 0.0000000000 	 1048565
36	 0.0000000000 	 1048572
37	 0.0000000000 	 1048543
38	 0.0000000000 	 1048572
39	 0.0000000000 	 1048554
40	 0.0156250000 	 1048560
41	 0.0000000000 	 1048575
42	 0.0000000000 	 1048572
43	 0.0000000000 	 1048555
44	 0.0000000000 	 1048564
45	 0.0000000000 	 1048545
46	 0.0000000000 	 1048570
47	 0.0156250000 	 1048570
48	 0.0000000000 	 1048560
49	 0.0000000000 	 1048551
50	 0.0000000000 	 1048550
51	 0.0000000000 	 1048560
52	 0.0000000000 	 1048528
53	 0.0000000000 	 1048552
54	 0.0000000000 	 1048572
55	 0.0156250000 	 1048575
56	 0.0000000000 	 1048544
57	 0.0000000000 	 1048572
58	 0.0000000000 	 1048524
59	 0.0000000000 	 1048548
60	 0.0000000000 	 1048560
61	 0.0000000000 	 1048529
62	 0.0000000000 	 1048544
63	 0.0156250000 	 1048572
64	 0.0000000000 	 1048576
65	 0.0000000000 	 1048515
